,joint_str,wrkt_str,target,output
52,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,retirement account portfolio,Financial,-1
53,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,retirement account portfolio,Financial,-1
54,Financial ask about HOA fee breakdown,retirement account portfolio,Financial,1
55,Jaseci open source update jaseci-serv actions,figure out credit score situation,Financial,-1
56,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,figure out credit score situation,Financial,-1
57,Jaseci JPS,figure out credit score situation,Financial,-1
58,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,figure out credit score situation,Financial,-1
59,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,figure out credit score situation,Financial,-1
60,Financial ask about HOA fee breakdown retirement account portfolio,figure out credit score situation,Financial,1
61,Jaseci open source update jaseci-serv actions,figure out retirement account transfer details,Financial,-1
62,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,figure out retirement account transfer details,Financial,-1
63,Jaseci JPS,figure out retirement account transfer details,Financial,-1
64,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,figure out retirement account transfer details,Financial,-1
65,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,figure out retirement account transfer details,Financial,-1
66,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation,figure out retirement account transfer details,Financial,1
67,Jaseci open source update jaseci-serv actions,start doing monthly budgeting,Financial,-1
68,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,start doing monthly budgeting,Financial,-1
69,Jaseci JPS,start doing monthly budgeting,Financial,-1
70,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,start doing monthly budgeting,Financial,-1
71,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,start doing monthly budgeting,Financial,-1
72,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details,start doing monthly budgeting,Financial,1
73,Jaseci open source update jaseci-serv actions,old bank account,Financial,-1
74,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,old bank account,Financial,-1
75,Jaseci JPS,old bank account,Financial,-1
76,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,old bank account,Financial,-1
77,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,old bank account,Financial,-1
78,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting,old bank account,Financial,1
79,Jaseci open source update jaseci-serv actions,timecard,Financial,-1
80,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,timecard,Financial,-1
81,Jaseci JPS,timecard,Financial,-1
82,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,timecard,Financial,-1
83,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,timecard,Financial,-1
84,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account,timecard,Financial,1
85,Jaseci open source update jaseci-serv actions,go to BOA,Financial,-1
86,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,go to BOA,Financial,-1
87,Jaseci JPS,go to BOA,Financial,-1
88,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,go to BOA,Financial,-1
89,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,go to BOA,Financial,-1
90,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard,go to BOA,Financial,1
91,Jaseci open source update jaseci-serv actions,weight,Get in shape,-1
92,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,weight,Get in shape,-1
93,Jaseci JPS,weight,Get in shape,-1
94,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,weight,Get in shape,-1
95,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,weight,Get in shape,-1
96,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,weight,Get in shape,-1
97,ME Get in shape,weight,Get in shape,1
98,ME Get in shape,weight,Get in shape,-1
99,Jaseci open source update jaseci-serv actions,workout,Get in shape,-1
100,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,workout,Get in shape,-1
101,Jaseci JPS,workout,Get in shape,-1
102,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,workout,Get in shape,-1
103,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,workout,Get in shape,-1
104,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,workout,Get in shape,-1
105,ME Get in shape weight,workout,Get in shape,1
106,ME Get in shape,workout,Get in shape,-1
107,Jaseci open source update jaseci-serv actions,Go to bed on time,Get in shape,-1
108,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,Go to bed on time,Get in shape,-1
109,Jaseci JPS,Go to bed on time,Get in shape,-1
110,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,Go to bed on time,Get in shape,-1
111,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,Go to bed on time,Get in shape,-1
112,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,Go to bed on time,Get in shape,-1
113,ME Get in shape weight workout,Go to bed on time,Get in shape,1
114,ME Get in shape,Go to bed on time,Get in shape,-1
115,Jaseci open source update jaseci-serv actions,Wake up on time,Get in shape,-1
116,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,Wake up on time,Get in shape,-1
117,Jaseci JPS,Wake up on time,Get in shape,-1
118,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,Wake up on time,Get in shape,-1
119,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,Wake up on time,Get in shape,-1
120,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,Wake up on time,Get in shape,-1
121,ME Get in shape weight workout Go to bed on time,Wake up on time,Get in shape,1
122,ME Get in shape,Wake up on time,Get in shape,-1
123,Jaseci open source update jaseci-serv actions,Breakfast,Get in shape,-1
124,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,Breakfast,Get in shape,-1
125,Jaseci JPS,Breakfast,Get in shape,-1
126,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,Breakfast,Get in shape,-1
127,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,Breakfast,Get in shape,-1
128,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,Breakfast,Get in shape,-1
129,ME Get in shape weight workout Go to bed on time Wake up on time,Breakfast,Get in shape,1
130,ME Get in shape,Breakfast,Get in shape,-1
131,Jaseci open source update jaseci-serv actions,facetime with parents,Relationship,-1
132,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,facetime with parents,Relationship,-1
133,Jaseci JPS,facetime with parents,Relationship,-1
134,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,facetime with parents,Relationship,-1
135,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,facetime with parents,Relationship,-1
136,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,facetime with parents,Relationship,-1
137,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,facetime with parents,Relationship,-1
138,ME Relationship,facetime with parents,Relationship,1
139,ME Get in shape Relationship,facetime with parents,Relationship,-1
140,Jaseci open source update jaseci-serv actions,special dinner with JaLi,Relationship,-1
141,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,special dinner with JaLi,Relationship,-1
142,Jaseci JPS,special dinner with JaLi,Relationship,-1
143,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,special dinner with JaLi,Relationship,-1
144,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,special dinner with JaLi,Relationship,-1
145,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,special dinner with JaLi,Relationship,-1
146,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,special dinner with JaLi,Relationship,-1
147,ME Relationship facetime with parents,special dinner with JaLi,Relationship,1
148,ME Get in shape Relationship,special dinner with JaLi,Relationship,-1
149,Jaseci open source update jaseci-serv actions,plan the menu,special dinner with JaLi,-1
150,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,plan the menu,special dinner with JaLi,-1
151,Jaseci JPS,plan the menu,special dinner with JaLi,-1
152,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,plan the menu,special dinner with JaLi,-1
153,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,plan the menu,special dinner with JaLi,-1
154,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,plan the menu,special dinner with JaLi,-1
155,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,plan the menu,special dinner with JaLi,-1
156,ME Relationship facetime with parents special dinner with JaLi,plan the menu,special dinner with JaLi,-1
157,ME Get in shape Relationship,plan the menu,special dinner with JaLi,-1
158,Jaseci open source update jaseci-serv actions,buy ingrediants,special dinner with JaLi,-1
159,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,buy ingrediants,special dinner with JaLi,-1
160,Jaseci JPS,buy ingrediants,special dinner with JaLi,-1
161,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,buy ingrediants,special dinner with JaLi,-1
162,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,buy ingrediants,special dinner with JaLi,-1
163,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,buy ingrediants,special dinner with JaLi,-1
164,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,buy ingrediants,special dinner with JaLi,-1
165,ME Relationship facetime with parents special dinner with JaLi,buy ingrediants,special dinner with JaLi,-1
166,ME Get in shape Relationship,buy ingrediants,special dinner with JaLi,-1
167,Jaseci open source update jaseci-serv actions,learn keyboard for 30 min,ME,-1
168,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,learn keyboard for 30 min,ME,-1
169,Jaseci JPS,learn keyboard for 30 min,ME,-1
170,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,learn keyboard for 30 min,ME,-1
171,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,learn keyboard for 30 min,ME,-1
172,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,learn keyboard for 30 min,ME,-1
173,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,learn keyboard for 30 min,ME,-1
174,ME Relationship facetime with parents special dinner with JaLi,learn keyboard for 30 min,ME,-1
175,ME Health,learn keyboard for 30 min,ME,-1
176,ME Get in shape Relationship Health,learn keyboard for 30 min,ME,1
177,Jaseci open source update jaseci-serv actions,find more,interests group,-1
178,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,find more,interests group,-1
179,Jaseci JPS,find more,interests group,-1
180,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,find more,interests group,-1
181,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,find more,interests group,-1
182,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,find more,interests group,-1
183,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,find more,interests group,-1
184,ME Relationship facetime with parents special dinner with JaLi,find more,interests group,-1
185,ME Health,find more,interests group,-1
186,ME interests group,find more,interests group,1
187,ME Get in shape Relationship Health learn keyboard for 30 min interests group,find more,interests group,-1
188,Jaseci open source update jaseci-serv actions,volunteering opportunities,interests group,-1
189,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,volunteering opportunities,interests group,-1
190,Jaseci JPS,volunteering opportunities,interests group,-1
191,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,volunteering opportunities,interests group,-1
192,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,volunteering opportunities,interests group,-1
193,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,volunteering opportunities,interests group,-1
194,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,volunteering opportunities,interests group,-1
195,ME Relationship facetime with parents special dinner with JaLi,volunteering opportunities,interests group,-1
196,ME Health,volunteering opportunities,interests group,-1
197,ME interests group find more,volunteering opportunities,interests group,1
198,ME Get in shape Relationship Health learn keyboard for 30 min interests group,volunteering opportunities,interests group,-1
199,Jaseci open source update jaseci-serv actions,bring trash cart back in,Chores,-1
200,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,bring trash cart back in,Chores,-1
201,Jaseci JPS,bring trash cart back in,Chores,-1
202,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,bring trash cart back in,Chores,-1
203,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,bring trash cart back in,Chores,-1
204,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,bring trash cart back in,Chores,-1
205,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,bring trash cart back in,Chores,-1
206,ME Relationship facetime with parents special dinner with JaLi,bring trash cart back in,Chores,-1
207,ME Health,bring trash cart back in,Chores,-1
208,ME interests group find more volunteering opportunities,bring trash cart back in,Chores,-1
209,ME Get in shape Relationship Health learn keyboard for 30 min interests group,bring trash cart back in,Chores,-1
210,Chores,bring trash cart back in,Chores,1
211,Jaseci open source update jaseci-serv actions,laundry,Chores,-1
212,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,laundry,Chores,-1
213,Jaseci JPS,laundry,Chores,-1
214,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,laundry,Chores,-1
215,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,laundry,Chores,-1
216,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,laundry,Chores,-1
217,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,laundry,Chores,-1
218,ME Relationship facetime with parents special dinner with JaLi,laundry,Chores,-1
219,ME Health,laundry,Chores,-1
220,ME interests group find more volunteering opportunities,laundry,Chores,-1
221,ME Get in shape Relationship Health learn keyboard for 30 min interests group,laundry,Chores,-1
222,Chores bring trash cart back in,laundry,Chores,1
223,Jaseci open source update jaseci-serv actions,grocery,Chores,-1
224,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,grocery,Chores,-1
225,Jaseci JPS,grocery,Chores,-1
226,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,grocery,Chores,-1
227,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,grocery,Chores,-1
228,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,grocery,Chores,-1
229,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,grocery,Chores,-1
230,ME Relationship facetime with parents special dinner with JaLi,grocery,Chores,-1
231,ME Health,grocery,Chores,-1
232,ME interests group find more volunteering opportunities,grocery,Chores,-1
233,ME Get in shape Relationship Health learn keyboard for 30 min interests group,grocery,Chores,-1
234,Chores bring trash cart back in laundry,grocery,Chores,1
235,Jaseci open source update jaseci-serv actions,get mails,Chores,-1
236,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,get mails,Chores,-1
237,Jaseci JPS,get mails,Chores,-1
238,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,get mails,Chores,-1
239,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,get mails,Chores,-1
240,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,get mails,Chores,-1
241,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,get mails,Chores,-1
242,ME Relationship facetime with parents special dinner with JaLi,get mails,Chores,-1
243,ME Health,get mails,Chores,-1
244,ME interests group find more volunteering opportunities,get mails,Chores,-1
245,ME Get in shape Relationship Health learn keyboard for 30 min interests group,get mails,Chores,-1
246,Chores bring trash cart back in laundry grocery,get mails,Chores,1
247,Jaseci open source update jaseci-serv actions,take out trash,Chores,-1
248,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,take out trash,Chores,-1
249,Jaseci JPS,take out trash,Chores,-1
250,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,take out trash,Chores,-1
251,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,take out trash,Chores,-1
252,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,take out trash,Chores,-1
253,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,take out trash,Chores,-1
254,ME Relationship facetime with parents special dinner with JaLi,take out trash,Chores,-1
255,ME Health,take out trash,Chores,-1
256,ME interests group find more volunteering opportunities,take out trash,Chores,-1
257,ME Get in shape Relationship Health learn keyboard for 30 min interests group,take out trash,Chores,-1
258,Chores bring trash cart back in laundry grocery get mails,take out trash,Chores,1
259,Jaseci open source update jaseci-serv actions,install video doorbell,Chores,-1
260,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,install video doorbell,Chores,-1
261,Jaseci JPS,install video doorbell,Chores,-1
262,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,install video doorbell,Chores,-1
263,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,install video doorbell,Chores,-1
264,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,install video doorbell,Chores,-1
265,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,install video doorbell,Chores,-1
266,ME Relationship facetime with parents special dinner with JaLi,install video doorbell,Chores,-1
267,ME Health,install video doorbell,Chores,-1
268,ME interests group find more volunteering opportunities,install video doorbell,Chores,-1
269,ME Get in shape Relationship Health learn keyboard for 30 min interests group,install video doorbell,Chores,-1
270,Chores bring trash cart back in laundry grocery get mails take out trash,install video doorbell,Chores,1
271,Jaseci open source update jaseci-serv actions,go pick up sunglasses,Chores,-1
272,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,go pick up sunglasses,Chores,-1
273,Jaseci JPS,go pick up sunglasses,Chores,-1
274,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,go pick up sunglasses,Chores,-1
275,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,go pick up sunglasses,Chores,-1
276,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,go pick up sunglasses,Chores,-1
277,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,go pick up sunglasses,Chores,-1
278,ME Relationship facetime with parents special dinner with JaLi,go pick up sunglasses,Chores,-1
279,ME Health,go pick up sunglasses,Chores,-1
280,ME interests group find more volunteering opportunities,go pick up sunglasses,Chores,-1
281,ME Get in shape Relationship Health learn keyboard for 30 min interests group,go pick up sunglasses,Chores,-1
